# s=45 S=55
# time_s	level
134541.054	39
134548.683	38
134691.939	37
134899.672	36
134899.672	35
134912.792	34
135043.708	33
135119.080	32
135355.750	31
135630.823	30
135682.420	29
135878.571	28
135878.571	27
136159.852	26
136159.852	25
136741.875	24
136741.875	23
136741.875	22
136800.853	21
136800.853	20
136800.853	19
136973.990	18
136973.990	17
136973.990	16
137034.391	15
137600.119	14
137934.967	27
137960.303	26
138032.480	25
138090.775	24
138177.649	23
138275.739	43
138736.565	42
138907.452	41
138907.452	40
139045.178	39
139045.178	38
139045.178	37
139045.178	36
139106.631	35
139393.392	34
139483.932	33
139483.932	32
140018.902	31
140145.763	30
140466.475	29
140466.475	28
140466.475	27
140507.270	26
140555.969	25
140555.969	24
140637.315	23
140637.315	22
140637.315	21
140738.076	20
140784.805	19
140839.804	18
140839.804	17
140873.805	16
141165.563	15
141190.868	14
141385.866	13
141548.777	12
141671.115	17
141753.604	16
141856.567	15
141856.567	14
142007.977	13
142007.977	12
142007.977	11
142094.756	10
142314.100	30
142497.173	29
142497.173	28
142497.173	27
142977.486	26
143023.467	25
143023.467	24
143316.041	23
143333.722	22
143333.722	21
143398.716	20
143398.716	19
143482.329	18
143482.329	17
143556.305	16
143574.729	15
143615.513	14
143693.813	13
143778.604	12
143802.684	11
143802.684	10
143953.697	9
143963.947	8
144018.925	7
144112.502	6
144218.714	5
144255.735	4
144594.899	3
144697.493	2
144697.493	1
144806.746	0
145286.383	0
145341.401	0
145624.626	7
145843.264	27
146283.431	26
146384.689	46
146671.240	45
146671.240	44
146671.240	43
146780.414	42
146846.831	41
146910.726	40
146934.545	39
147114.507	38
147184.196	37
147409.643	36
147462.563	35
147462.563	34
147719.644	33
147719.644	32
147874.720	31
147989.361	30
147989.361	29
148139.368	28
148280.645	27
148280.645	26
148530.066	46
148557.370	45
148646.071	44
148646.071	43
148658.234	42
148674.599	41
148740.548	42
148918.859	41
149296.857	40
149296.857	39
149587.431	38
149883.693	37
149899.946	36
150156.892	35
150156.892	34
150186.321	33
150509.737	32
150614.554	31
150614.554	30
150670.685	29
150670.685	28
150827.665	27
150827.665	26
151483.888	25
151738.870	24
151807.634	23
151807.634	22
151850.986	21
151978.361	20
152255.657	19
152438.472	18
152438.472	17
152487.745	16
152604.132	15
152673.129	14
152704.113	13
152729.043	12
153283.359	11
153352.717	31
153565.177	40
153793.625	39
153875.231	38
153894.611	37
153982.930	36
154160.267	35
154256.528	34
154310.666	33
154405.898	32
154778.393	31
155162.348	30
155162.348	29
155175.359	28
155220.337	27
155247.015	26
155363.834	25
155469.562	24
155710.575	23
155710.575	22
155718.184	21
155942.913	20
156042.104	19
156042.104	18
156388.517	17
156388.517	16
156501.768	15
156501.768	14
156501.768	13
156501.768	12
156512.612	32
156524.395	31
156586.977	35
156892.438	34
157217.323	33
157236.125	32
157299.739	31
157424.975	30
157787.454	29
157787.454	28
157787.454	27
157787.454	26
158029.396	25
158087.084	24
158325.634	23
158359.594	22
158542.144	21
158586.629	20
158623.284	19
158623.284	18
158769.729	17
158769.729	16
158780.049	15
158832.241	14
158892.686	13
159036.402	12
159148.614	11
159148.614	10
159148.614	9
159148.614	8
159177.259	7
159189.038	20
159206.688	19
159222.226	18
159312.114	38
159515.052	37
159630.170	36
159630.170	35
159861.935	34
159916.787	33
160238.841	32
160550.217	31
160811.888	30
160811.888	29
160811.888	28
160821.233	27
160905.898	26
160905.898	25
160905.898	24
160942.526	23
161144.912	22
161203.319	21
161250.919	20
161837.358	19
161837.358	18
161837.358	17
161924.419	16
161924.419	15
161924.419	14
162038.447	13
162082.047	12
162082.047	11
162131.261	10
162302.550	9
162374.244	8
162582.591	7
163116.614	27
163124.698	28
163163.341	27
163328.083	26
163330.818	46
163458.991	45
163645.684	44
163750.852	43
164443.246	42
