# s1	s2	s3	s4	s5	R_s	f_init	P_OOS	cost_eur	E_T_s	maxLag_s	fracLagOverR	feasible
55	45	55	50	30	3600	0.85	0.1136	1608.41	479.70	4876.8	0.1400	0
55	45	55	50	30	3600	1.00	0.1195	1692.84	479.90	4499.2	0.1224	0
55	55	45	30	20	1800	0.85	0.0450	765.03	482.12	4403.3	0.4063	0
55	55	45	30	20	1800	1.00	0.0475	768.15	481.56	3649.4	0.3906	0
55	55	45	30	20	3600	0.85	0.1323	1901.15	480.51	4833.2	0.1395	0
55	55	45	30	20	3600	1.00	0.1307	1882.26	479.56	4791.2	0.1463	0
55	55	45	30	30	1800	0.85	0.0498	828.91	480.52	5157.0	0.4308	0
55	55	45	30	30	1800	1.00	0.0484	801.89	481.34	4279.2	0.3913	0
55	55	45	30	30	3600	0.85	0.1267	1803.08	480.32	4731.3	0.1042	0
55	55	45	30	30	3600	1.00	0.1255	1806.28	479.77	4848.2	0.1111	0
55	55	45	40	20	1800	0.85	0.0458	782.50	481.83	3909.8	0.4412	0
55	55	45	40	20	1800	1.00	0.0439	758.44	481.76	4278.7	0.4091	0
55	55	45	40	20	3600	0.85	0.1134	1655.49	480.49	4918.4	0.1429	0
55	55	45	40	20	3600	1.00	0.1238	1793.11	480.09	4522.0	0.1333	0
55	55	45	40	30	1800	0.85	0.0463	794.35	481.30	3942.7	0.4493	0
55	55	45	40	30	1800	1.00	0.0418	731.65	481.16	4435.2	0.3944	0
55	55	45	40	30	3600	0.85	0.1132	1626.67	480.89	4791.0	0.1400	0
55	55	45	40	30	3600	1.00	0.1175	1699.29	480.64	4734.4	0.1064	0
55	55	45	50	20	1800	0.85	0.0455	785.10	481.78	3702.2	0.4085	0
55	55	45	50	20	1800	1.00	0.0478	802.65	481.22	3791.7	0.3731	0
55	55	45	50	20	3600	0.85	0.1169	1693.14	480.37	4752.9	0.1064	0
55	55	45	50	20	3600	1.00	0.1186	1724.18	479.50	4447.7	0.1333	0
55	55	45	50	30	1800	0.85	0.0452	785.21	480.93	4388.9	0.4143	0
55	55	45	50	30	1800	1.00	0.0455	787.19	481.20	4196.9	0.3973	0
55	55	45	50	30	3600	0.85	0.1116	1618.43	480.08	4739.2	0.1000	0
55	55	45	50	30	3600	1.00	0.1146	1649.75	480.44	4841.7	0.1250	0
55	55	55	30	20	1800	0.85	0.0503	833.17	482.08	4570.6	0.3824	0
55	55	55	30	20	1800	1.00	0.0480	823.85	482.67	4978.4	0.4394	0
55	55	55	30	20	3600	0.85	0.1323	1901.15	480.51	4833.2	0.1395	0
55	55	55	30	20	3600	1.00	0.1329	1909.96	479.97	4761.2	0.1364	0
55	55	55	30	30	1800	0.85	0.0470	799.52	481.09	3967.0	0.3947	0
55	55	55	30	30	1800	1.00	0.0419	735.79	481.80	4339.1	0.3472	0
55	55	55	30	30	3600	0.85	0.1244	1784.35	479.86	4702.2	0.1042	0
55	55	55	30	30	3600	1.00	0.1255	1803.63	479.82	4654.4	0.1111	0
55	55	55	40	20	1800	0.85	0.0464	805.66	481.54	4088.3	0.3784	0
55	55	55	40	20	1800	1.00	0.0437	750.72	480.97	3783.7	0.4085	0
55	55	55	40	20	3600	0.85	0.1165	1687.31	480.49	4754.4	0.1042	0
55	55	55	40	20	3600	1.00	0.1197	1732.88	479.63	4736.7	0.1111	0
55	55	55	40	30	1800	0.85	0.0441	785.51	481.35	4261.8	0.3662	0
55	55	55	40	30	1800	1.00	0.0408	727.64	481.35	4103.0	0.3919	0
55	55	55	40	30	3600	0.85	0.1117	1599.33	480.35	4607.2	0.1304	0
55	55	55	40	30	3600	1.00	0.1126	1623.19	479.60	4486.7	0.1250	0
55	55	55	50	20	1800	0.85	0.0462	805.85	481.68	4047.1	0.3562	0
55	55	55	50	20	1800	1.00	0.0430	784.45	480.71	3961.8	0.3467	0
55	55	55	50	20	3600	0.85	0.1123	1629.59	479.57	4788.8	0.1042	0
55	55	55	50	20	3600	1.00	0.1218	1778.65	480.40	4721.5	0.1333	0
55	55	55	50	30	1800	0.85	0.0452	809.70	480.73	3942.7	0.5143	0
55	55	55	50	30	1800	1.00	0.0503	844.74	482.23	3762.4	0.4400	0
55	55	55	50	30	3600	0.85	0.1121	1605.51	480.35	4951.4	0.1200	0
55	55	55	50	30	3600	1.00	0.1112	1605.65	480.52	4805.7	0.1000	0
55	65	45	30	20	1800	0.85	0.0472	803.97	481.89	3692.1	0.4028	0
55	65	45	30	20	1800	1.00	0.0453	773.41	481.33	4178.0	0.3824	0
55	65	45	30	20	3600	0.85	0.1323	1901.15	480.51	4833.2	0.1395	0
55	65	45	30	20	3600	1.00	0.1298	1878.36	479.78	4849.9	0.1190	0
55	65	45	30	30	1800	0.85	0.0441	763.34	481.13	4334.9	0.3425	0
55	65	45	30	30	1800	1.00	0.0463	780.59	481.31	3738.9	0.3973	0
55	65	45	30	30	3600	0.85	0.1267	1803.08	480.32	4731.3	0.1042	0
55	65	45	30	30	3600	1.00	0.1308	1864.24	479.65	4751.9	0.1136	0
55	65	45	40	20	1800	0.85	0.0446	780.91	481.50	4386.7	0.4225	0
55	65	45	40	20	1800	1.00	0.0435	758.02	482.37	4118.9	0.3750	0
55	65	45	40	20	3600	0.85	0.1134	1655.49	480.49	4918.4	0.1429	0
55	65	45	40	20	3600	1.00	0.1197	1750.17	481.15	4419.6	0.1277	0
55	65	45	40	30	1800	0.85	0.0444	786.63	481.84	4302.0	0.3544	0
55	65	45	40	30	1800	1.00	0.0443	782.11	481.40	3919.8	0.4000	0
55	65	45	40	30	3600	0.85	0.1132	1626.67	480.89	4791.0	0.1400	0
55	65	45	40	30	3600	1.00	0.1199	1729.44	480.36	4671.1	0.1400	0
55	65	45	50	20	1800	0.85	0.0453	784.37	481.32	4292.6	0.3867	0
55	65	45	50	20	1800	1.00	0.0443	773.98	481.99	3976.4	0.3889	0
55	65	45	50	20	3600	0.85	0.1169	1693.14	480.37	4752.9	0.1064	0
55	65	45	50	20	3600	1.00	0.1181	1721.54	480.47	4565.5	0.1064	0
55	65	45	50	30	1800	0.85	0.0453	791.02	481.44	4314.0	0.3684	0
55	65	45	50	30	1800	1.00	0.0461	801.93	481.21	4491.5	0.3718	0
55	65	45	50	30	3600	0.85	0.1116	1618.43	480.08	4739.2	0.1000	0
55	65	45	50	30	3600	1.00	0.1128	1621.01	479.33	4823.3	0.1042	0
55	65	55	30	20	1800	0.85	0.0457	808.64	482.05	4026.7	0.4085	0
55	65	55	30	20	1800	1.00	0.0476	811.58	481.45	4108.8	0.3803	0
55	65	55	30	20	3600	0.85	0.1323	1901.15	480.51	4833.2	0.1395	0
55	65	55	30	20	3600	1.00	0.1331	1911.65	479.44	4706.3	0.1395	0
55	65	55	30	30	1800	0.85	0.0466	812.51	481.28	4047.9	0.3462	0
55	65	55	30	30	1800	1.00	0.0459	798.96	480.47	4399.8	0.3867	0
55	65	55	30	30	3600	0.85	0.1244	1784.35	479.86	4702.2	0.1042	0
55	65	55	30	30	3600	1.00	0.1270	1832.04	480.06	4854.3	0.1111	0
55	65	55	40	20	1800	0.85	0.0440	781.46	481.31	4247.9	0.3165	0
55	65	55	40	20	1800	1.00	0.0425	763.04	481.01	4337.0	0.3289	0
55	65	55	40	20	3600	0.85	0.1165	1687.31	480.49	4754.4	0.1042	0
55	65	55	40	20	3600	1.00	0.1202	1759.19	479.30	4476.7	0.1591	0
55	65	55	40	30	1800	0.85	0.0433	785.07	481.47	3966.2	0.3797	0
55	65	55	40	30	1800	1.00	0.0429	771.16	481.22	4151.0	0.3947	0
55	65	55	40	30	3600	0.85	0.1117	1599.33	480.35	4607.2	0.1304	0
55	65	55	40	30	3600	1.00	0.1168	1696.25	480.01	4603.3	0.1000	0
55	65	55	50	20	1800	0.85	0.0443	793.82	481.75	4484.2	0.3333	0
55	65	55	50	20	1800	1.00	0.0404	749.39	480.50	4337.0	0.3077	0
55	65	55	50	20	3600	0.85	0.1123	1629.59	479.57	4788.8	0.1042	0
55	65	55	50	20	3600	1.00	0.1177	1718.89	479.58	4516.0	0.1224	0
55	65	55	50	30	1800	0.85	0.0442	778.47	481.20	4015.5	0.3797	0
55	65	55	50	30	1800	1.00	0.0420	748.31	480.95	3680.8	0.3333	0
55	65	55	50	30	3600	0.85	0.1121	1605.51	480.35	4951.4	0.1200	0
55	65	55	50	30	3600	1.00	0.1121	1623.89	480.30	4668.4	0.1200	0
65	45	45	30	20	1800	0.85	0.0489	806.62	482.59	3721.3	0.4179	0
65	45	45	30	20	1800	1.00	0.0506	847.76	481.73	4045.0	0.4545	0
65	45	45	30	20	3600	0.85	0.1338	1892.89	479.47	4651.3	0.1429	0
65	45	45	30	20	3600	1.00	0.1354	1920.50	479.48	4872.8	0.1628	0
65	45	45	30	30	1800	0.85	0.0446	760.76	482.10	4185.4	0.4697	0
65	45	45	30	30	1800	1.00	0.0496	826.96	481.10	4221.4	0.4462	0
65	45	45	30	30	3600	0.85	0.1271	1810.60	479.95	4689.7	0.1224	0
65	45	45	30	30	3600	1.00	0.1318	1851.27	479.86	4759.9	0.1333	0
65	45	45	40	20	1800	0.85	0.0452	790.03	481.27	3834.5	0.5323	0
65	45	45	40	20	1800	1.00	0.0448	766.73	481.44	3664.9	0.4615	0
65	45	45	40	20	3600	0.85	0.1198	1708.72	480.72	4798.2	0.1277	0
65	45	45	40	20	3600	1.00	0.1230	1747.11	479.20	4678.3	0.1277	0
65	45	45	40	30	1800	0.85	0.0474	808.59	481.86	3836.6	0.4265	0
65	45	45	40	30	1800	1.00	0.0484	806.88	482.00	3779.1	0.4412	0
65	45	45	40	30	3600	0.85	0.1184	1675.11	480.23	4698.2	0.1429	0
65	45	45	40	30	3600	1.00	0.1232	1721.71	479.60	4755.9	0.1304	0
65	45	45	50	20	1800	0.85	0.0474	838.38	481.60	4025.4	0.4444	0
65	45	45	50	20	1800	1.00	0.0455	795.44	481.54	4080.5	0.4030	0
65	45	45	50	20	3600	0.85	0.1213	1741.26	480.78	4708.4	0.1277	0
65	45	45	50	20	3600	1.00	0.1262	1783.85	479.46	4894.1	0.1333	0
65	45	45	50	30	1800	0.85	0.0472	808.34	481.51	4025.3	0.4110	0
65	45	45	50	30	1800	1.00	0.0493	828.38	481.00	3767.9	0.3889	0
65	45	45	50	30	3600	0.85	0.1162	1643.39	480.82	4821.5	0.1200	0
65	45	45	50	30	3600	1.00	0.1184	1676.99	480.04	4700.4	0.1458	0
65	45	55	30	20	1800	0.85	0.0475	790.21	481.25	4355.6	0.4143	0
65	45	55	30	20	1800	1.00	0.0472	816.58	482.03	3708.9	0.4412	0
65	45	55	30	20	3600	0.85	0.1353	1923.21	480.40	4626.8	0.1429	0
65	45	55	30	20	3600	1.00	0.1331	1882.88	480.08	4820.6	0.1463	0
65	45	55	30	30	1800	0.85	0.0475	800.48	481.73	4356.4	0.3600	0
65	45	55	30	30	1800	1.00	0.0520	861.49	481.66	3906.4	0.5152	0
65	45	55	30	30	3600	0.85	0.1263	1786.06	480.12	4629.7	0.1429	0
65	45	55	30	30	3600	1.00	0.1288	1814.16	479.46	4859.3	0.1064	0
65	45	55	40	20	1800	0.85	0.0422	733.09	482.40	3817.0	0.3867	0
